,query_image_index,query_image_type,query_image_type_index,query_image_path,query_total_keypoints,query_image_width,query_image_height,train_image_index,train_image_type,train_image_type_index,train_image_path,train_total_keypoints,train_image_width,train_image_height,matching_method,total_matches,total_good_matches,with_resize
0,100,selfies,0,./results/cropped/e-ktp\100_selfie_crop_0.jpeg,1215,599,374,100,cards,0,./results/cropped/e-ktp\100_card_crop_0.jpeg,1089,562,374,ORB,540,515,True
1,100,selfies,0,./results/cropped/e-ktp\100_selfie_crop_0.jpeg,1281,599,374,100,cards,0,./results/cropped/e-ktp\100_card_crop_0.jpeg,1138,562,374,SIFT,1281,468,True
2,100,selfies,0,./results/cropped/e-ktp\100_selfie_crop_0.jpeg,1215,599,374,100,cards,0,./results/cropped/e-ktp\100_card_crop_0.jpeg,1764,719,478,ORB,348,317,False
3,100,selfies,0,./results/cropped/e-ktp\100_selfie_crop_0.jpeg,1281,599,374,100,cards,0,./results/cropped/e-ktp\100_card_crop_0.jpeg,1897,719,478,SIFT,1281,409,False
4,101,selfies,0,./results/cropped/e-ktp\101_selfie_crop_0.jpg,1950,1521,982,101,cards,0,./results/cropped/e-ktp\101_card_crop_0.jpg,2823,1562,982,ORB,793,764,True
5,101,selfies,0,./results/cropped/e-ktp\101_selfie_crop_0.jpg,1861,1521,982,101,cards,0,./results/cropped/e-ktp\101_card_crop_0.jpg,22688,1562,982,SIFT,1861,403,True
6,101,selfies,0,./results/cropped/e-ktp\101_selfie_crop_0.jpg,1950,1521,982,101,cards,0,./results/cropped/e-ktp\101_card_crop_0.jpg,2917,2741,1723,ORB,690,636,False
7,101,selfies,0,./results/cropped/e-ktp\101_selfie_crop_0.jpg,1861,1521,982,101,cards,0,./results/cropped/e-ktp\101_card_crop_0.jpg,42602,2741,1723,SIFT,1861,399,False
8,102,selfies,0,./results/cropped/e-ktp\102_selfie_crop_0.jpg,2780,1461,916,102,cards,0,./results/cropped/e-ktp\102_card_crop_0.jpg,2823,1413,916,ORB,822,759,True
9,102,selfies,0,./results/cropped/e-ktp\102_selfie_crop_0.jpg,3581,1461,916,102,cards,0,./results/cropped/e-ktp\102_card_crop_0.jpg,13246,1413,916,SIFT,3581,511,True
10,102,selfies,0,./results/cropped/e-ktp\102_selfie_crop_0.jpg,2780,1461,916,102,cards,0,./results/cropped/e-ktp\102_card_crop_0.jpg,2875,2129,1380,ORB,709,601,False
11,102,selfies,0,./results/cropped/e-ktp\102_selfie_crop_0.jpg,3581,1461,916,102,cards,0,./results/cropped/e-ktp\102_card_crop_0.jpg,32888,2129,1380,SIFT,3581,512,False
12,103,selfies,0,./results/cropped/e-ktp\103_selfie_crop_0.jpeg,1568,688,457,103,cards,0,./results/cropped/e-ktp\103_card_crop_0.jpeg,2246,709,457,ORB,980,966,True
13,103,selfies,0,./results/cropped/e-ktp\103_selfie_crop_0.jpeg,1356,688,457,103,cards,0,./results/cropped/e-ktp\103_card_crop_0.jpeg,2093,709,457,SIFT,1356,483,True
14,103,selfies,0,./results/cropped/e-ktp\103_selfie_crop_0.jpeg,1751,707,469,103,cards,0,./results/cropped/e-ktp\103_card_crop_0.jpeg,2246,709,457,ORB,1008,991,False
15,103,selfies,0,./results/cropped/e-ktp\103_selfie_crop_0.jpeg,1588,707,469,103,cards,0,./results/cropped/e-ktp\103_card_crop_0.jpeg,2093,709,457,SIFT,1588,573,False
16,104,selfies,0,./results/cropped/e-ktp\104_selfie_crop_0.jpeg,921,456,289,104,cards,0,./results/cropped/e-ktp\104_card_crop_0.jpeg,1466,424,289,ORB,480,469,True
17,104,selfies,0,./results/cropped/e-ktp\104_selfie_crop_0.jpeg,866,456,289,104,cards,0,./results/cropped/e-ktp\104_card_crop_0.jpeg,930,424,289,SIFT,866,264,True
18,104,selfies,0,./results/cropped/e-ktp\104_selfie_crop_0.jpeg,921,456,289,104,cards,0,./results/cropped/e-ktp\104_card_crop_0.jpeg,2391,751,511,ORB,402,375,False
19,104,selfies,0,./results/cropped/e-ktp\104_selfie_crop_0.jpeg,866,456,289,104,cards,0,./results/cropped/e-ktp\104_card_crop_0.jpeg,3390,751,511,SIFT,866,218,False
20,105,selfies,0,./results/cropped/e-ktp\105_selfie_crop_0.jpeg,1222,456,310,105,cards,0,./results/cropped/e-ktp\105_card_crop_0.jpeg,1071,431,310,ORB,552,537,True
21,105,selfies,0,./results/cropped/e-ktp\105_selfie_crop_0.jpeg,923,456,310,105,cards,0,./results/cropped/e-ktp\105_card_crop_0.jpeg,752,431,310,SIFT,923,290,True
22,105,selfies,0,./results/cropped/e-ktp\105_selfie_crop_0.jpeg,1222,456,310,105,cards,0,./results/cropped/e-ktp\105_card_crop_0.jpeg,2170,678,487,ORB,379,321,False
23,105,selfies,0,./results/cropped/e-ktp\105_selfie_crop_0.jpeg,923,456,310,105,cards,0,./results/cropped/e-ktp\105_card_crop_0.jpeg,1975,678,487,SIFT,923,259,False
24,106,selfies,0,./results/cropped/e-ktp\106_selfie_crop_0.jpeg,1814,504,328,106,cards,0,./results/cropped/e-ktp\106_card_crop_0.jpeg,1907,531,328,ORB,1075,1059,True
25,106,selfies,0,./results/cropped/e-ktp\106_selfie_crop_0.jpeg,1348,504,328,106,cards,0,./results/cropped/e-ktp\106_card_crop_0.jpeg,1288,531,328,SIFT,1348,515,True
26,106,selfies,0,./results/cropped/e-ktp\106_selfie_crop_0.jpeg,2297,670,436,106,cards,0,./results/cropped/e-ktp\106_card_crop_0.jpeg,1907,531,328,ORB,509,404,False
27,106,selfies,0,./results/cropped/e-ktp\106_selfie_crop_0.jpeg,2477,670,436,106,cards,0,./results/cropped/e-ktp\106_card_crop_0.jpeg,1288,531,328,SIFT,2477,520,False
28,107,selfies,0,./results/cropped/e-ktp\107_selfie_crop_0.jpeg,1967,540,382,107,cards,0,./results/cropped/e-ktp\107_card_crop_0.jpeg,1735,538,382,ORB,825,788,True
29,107,selfies,0,./results/cropped/e-ktp\107_selfie_crop_0.jpeg,1001,540,382,107,cards,0,./results/cropped/e-ktp\107_card_crop_0.jpeg,987,538,382,SIFT,1001,353,True
30,107,selfies,0,./results/cropped/e-ktp\107_selfie_crop_0.jpeg,1967,540,382,107,cards,0,./results/cropped/e-ktp\107_card_crop_0.jpeg,2375,741,526,ORB,494,359,False
31,107,selfies,0,./results/cropped/e-ktp\107_selfie_crop_0.jpeg,1001,540,382,107,cards,0,./results/cropped/e-ktp\107_card_crop_0.jpeg,2054,741,526,SIFT,1001,317,False
32,108,selfies,0,./results/cropped/e-ktp\108_selfie_crop_0.jpeg,1743,510,345,108,cards,0,./results/cropped/e-ktp\108_card_crop_0.jpeg,1901,486,345,ORB,942,926,True
33,108,selfies,0,./results/cropped/e-ktp\108_selfie_crop_0.jpeg,1278,510,345,108,cards,0,./results/cropped/e-ktp\108_card_crop_0.jpeg,1280,486,345,SIFT,1278,559,True
34,108,selfies,0,./results/cropped/e-ktp\108_selfie_crop_0.jpeg,1743,510,345,108,cards,0,./results/cropped/e-ktp\108_card_crop_0.jpeg,2431,759,538,ORB,556,493,False
35,108,selfies,0,./results/cropped/e-ktp\108_selfie_crop_0.jpeg,1278,510,345,108,cards,0,./results/cropped/e-ktp\108_card_crop_0.jpeg,3299,759,538,SIFT,1278,505,False
36,109,selfies,0,./results/cropped/e-ktp\109_selfie_crop_0.jpeg,1665,506,363,109,cards,0,./results/cropped/e-ktp\109_card_crop_0.jpeg,2142,532,363,ORB,906,872,True
37,109,selfies,0,./results/cropped/e-ktp\109_selfie_crop_0.jpeg,1309,506,363,109,cards,0,./results/cropped/e-ktp\109_card_crop_0.jpeg,1151,532,363,SIFT,1309,432,True
38,109,selfies,0,./results/cropped/e-ktp\109_selfie_crop_0.jpeg,2392,754,540,109,cards,0,./results/cropped/e-ktp\109_card_crop_0.jpeg,2142,532,363,ORB,564,441,False
39,109,selfies,0,./results/cropped/e-ktp\109_selfie_crop_0.jpeg,3277,754,540,109,cards,0,./results/cropped/e-ktp\109_card_crop_0.jpeg,1151,532,363,SIFT,3277,489,False
40,10,selfies,0,./results/cropped/e-ktp\10_selfie_crop_0.jpg,2587,1068,699,10,cards,0,./results/cropped/e-ktp\10_card_crop_0.jpg,2689,1012,699,ORB,726,676,True
41,10,selfies,0,./results/cropped/e-ktp\10_selfie_crop_0.jpg,1841,1068,699,10,cards,0,./results/cropped/e-ktp\10_card_crop_0.jpg,8707,1012,699,SIFT,1841,133,True
42,10,selfies,0,./results/cropped/e-ktp\10_selfie_crop_0.jpg,2587,1068,699,10,cards,0,./results/cropped/e-ktp\10_card_crop_0.jpg,2924,3457,2386,ORB,604,579,False
43,10,selfies,0,./results/cropped/e-ktp\10_selfie_crop_0.jpg,1841,1068,699,10,cards,0,./results/cropped/e-ktp\10_card_crop_0.jpg,38557,3457,2386,SIFT,1841,127,False
44,110,selfies,0,./results/cropped/e-ktp\110_selfie_crop_0.jpeg,1038,474,286,110,cards,0,./results/cropped/e-ktp\110_card_crop_0.jpeg,1270,439,286,ORB,505,486,True
45,110,selfies,0,./results/cropped/e-ktp\110_selfie_crop_0.jpeg,951,474,286,110,cards,0,./results/cropped/e-ktp\110_card_crop_0.jpeg,936,439,286,SIFT,951,222,True
46,110,selfies,0,./results/cropped/e-ktp\110_selfie_crop_0.jpeg,1038,474,286,110,cards,1,./results/cropped/e-ktp\110_card_crop_1.jpeg,63,254,286,ORB,34,24,True
47,110,selfies,0,./results/cropped/e-ktp\110_selfie_crop_0.jpeg,951,474,286,110,cards,1,./results/cropped/e-ktp\110_card_crop_1.jpeg,74,254,286,SIFT,951,18,True
48,110,selfies,0,./results/cropped/e-ktp\110_selfie_crop_0.jpeg,1038,474,286,110,cards,0,./results/cropped/e-ktp\110_card_crop_0.jpeg,2293,669,435,ORB,343,274,False
49,110,selfies,0,./results/cropped/e-ktp\110_selfie_crop_0.jpeg,951,474,286,110,cards,0,./results/cropped/e-ktp\110_card_crop_0.jpeg,2267,669,435,SIFT,951,180,False
50,110,selfies,0,./results/cropped/e-ktp\110_selfie_crop_0.jpeg,1038,474,286,110,cards,1,./results/cropped/e-ktp\110_card_crop_1.jpeg,64,287,322,ORB,40,27,False
51,110,selfies,0,./results/cropped/e-ktp\110_selfie_crop_0.jpeg,951,474,286,110,cards,1,./results/cropped/e-ktp\110_card_crop_1.jpeg,71,287,322,SIFT,951,18,False
52,111,selfies,0,./results/cropped/e-ktp\111_selfie_crop_0.jpeg,645,665,446,111,cards,0,./results/cropped/e-ktp\111_card_crop_0.jpeg,2366,649,446,ORB,390,372,True
53,111,selfies,0,./results/cropped/e-ktp\111_selfie_crop_0.jpeg,647,665,446,111,cards,0,./results/cropped/e-ktp\111_card_crop_0.jpeg,2484,649,446,SIFT,647,170,True
54,111,selfies,1,./results/cropped/e-ktp\111_selfie_crop_1.jpeg,265,238,225,111,cards,0,./results/cropped/e-ktp\111_card_crop_0.jpeg,887,327,225,ORB,107,41,True
55,111,selfies,1,./results/cropped/e-ktp\111_selfie_crop_1.jpeg,293,238,225,111,cards,0,./results/cropped/e-ktp\111_card_crop_0.jpeg,588,327,225,SIFT,293,1,True
56,111,selfies,0,./results/cropped/e-ktp\111_selfie_crop_0.jpeg,721,739,495,111,cards,0,./results/cropped/e-ktp\111_card_crop_0.jpeg,2366,649,446,ORB,411,393,False
57,111,selfies,0,./results/cropped/e-ktp\111_selfie_crop_0.jpeg,705,739,495,111,cards,0,./results/cropped/e-ktp\111_card_crop_0.jpeg,2484,649,446,SIFT,705,182,False
58,111,selfies,1,./results/cropped/e-ktp\111_selfie_crop_1.jpeg,31,103,97,111,cards,0,./results/cropped/e-ktp\111_card_crop_0.jpeg,2366,649,446,ORB,21,14,False
59,111,selfies,1,./results/cropped/e-ktp\111_selfie_crop_1.jpeg,213,103,97,111,cards,0,./results/cropped/e-ktp\111_card_crop_0.jpeg,2484,649,446,SIFT,213,0,False
60,112,selfies,0,./results/cropped/e-ktp\112_selfie_crop_0.jpeg,2351,636,445,112,cards,0,./results/cropped/e-ktp\112_card_crop_0.jpeg,2090,629,445,ORB,930,871,True
61,112,selfies,0,./results/cropped/e-ktp\112_selfie_crop_0.jpeg,2259,636,445,112,cards,0,./results/cropped/e-ktp\112_card_crop_0.jpeg,1747,629,445,SIFT,2259,606,True
62,112,selfies,1,./results/cropped/e-ktp\112_selfie_crop_1.jpeg,4,225,241,112,cards,0,./results/cropped/e-ktp\112_card_crop_0.jpeg,719,341,241,ORB,3,3,True
63,112,selfies,1,./results/cropped/e-ktp\112_selfie_crop_1.jpeg,17,225,241,112,cards,0,./results/cropped/e-ktp\112_card_crop_0.jpeg,578,341,241,SIFT,17,0,True
64,112,selfies,0,./results/cropped/e-ktp\112_selfie_crop_0.jpeg,2351,636,445,112,cards,0,./results/cropped/e-ktp\112_card_crop_0.jpeg,2320,658,465,ORB,958,904,False
65,112,selfies,0,./results/cropped/e-ktp\112_selfie_crop_0.jpeg,2259,636,445,112,cards,0,./results/cropped/e-ktp\112_card_crop_0.jpeg,1847,658,465,SIFT,2259,717,False
66,112,selfies,1,./results/cropped/e-ktp\112_selfie_crop_1.jpeg,2,120,128,112,cards,0,./results/cropped/e-ktp\112_card_crop_0.jpeg,2320,658,465,ORB,1,1,False
67,112,selfies,1,./results/cropped/e-ktp\112_selfie_crop_1.jpeg,20,120,128,112,cards,0,./results/cropped/e-ktp\112_card_crop_0.jpeg,1847,658,465,SIFT,20,0,False
68,113,selfies,0,./results/cropped/e-ktp\113_selfie_crop_0.jpeg,961,374,225,113,cards,0,./results/cropped/e-ktp\113_card_crop_0.jpeg,92,306,225,ORB,77,50,True
69,113,selfies,0,./results/cropped/e-ktp\113_selfie_crop_0.jpeg,781,374,225,113,cards,0,./results/cropped/e-ktp\113_card_crop_0.jpeg,171,306,225,SIFT,781,40,True
70,113,selfies,0,./results/cropped/e-ktp\113_selfie_crop_0.jpeg,2688,1224,735,113,cards,0,./results/cropped/e-ktp\113_card_crop_0.jpeg,111,286,210,ORB,90,76,False
71,113,selfies,0,./results/cropped/e-ktp\113_selfie_crop_0.jpeg,5103,1224,735,113,cards,0,./results/cropped/e-ktp\113_card_crop_0.jpeg,208,286,210,SIFT,5103,83,False
72,114,selfies,0,./results/cropped/e-ktp\114_selfie_crop_0.jpeg,438,375,225,114,cards,0,./results/cropped/e-ktp\114_card_crop_0.jpeg,500,360,225,ORB,203,165,True
73,114,selfies,0,./results/cropped/e-ktp\114_selfie_crop_0.jpeg,579,375,225,114,cards,0,./results/cropped/e-ktp\114_card_crop_0.jpeg,571,360,225,SIFT,579,151,True
74,114,selfies,0,./results/cropped/e-ktp\114_selfie_crop_0.jpeg,96,210,126,114,cards,0,./results/cropped/e-ktp\114_card_crop_0.jpeg,1385,616,385,ORB,61,32,False
75,114,selfies,0,./results/cropped/e-ktp\114_selfie_crop_0.jpeg,231,210,126,114,cards,0,./results/cropped/e-ktp\114_card_crop_0.jpeg,1472,616,385,SIFT,231,87,False
76,115,selfies,0,./results/cropped/e-ktp\115_selfie_crop_0.jpeg,425,344,225,115,cards,0,./results/cropped/e-ktp\115_card_crop_0.jpeg,664,335,225,ORB,218,193,True
77,115,selfies,0,./results/cropped/e-ktp\115_selfie_crop_0.jpeg,526,344,225,115,cards,0,./results/cropped/e-ktp\115_card_crop_0.jpeg,565,335,225,SIFT,526,142,True
78,115,selfies,0,./results/cropped/e-ktp\115_selfie_crop_0.jpeg,185,222,145,115,cards,0,./results/cropped/e-ktp\115_card_crop_0.jpeg,2381,759,509,ORB,117,72,False
79,115,selfies,0,./results/cropped/e-ktp\115_selfie_crop_0.jpeg,301,222,145,115,cards,0,./results/cropped/e-ktp\115_card_crop_0.jpeg,2066,759,509,SIFT,301,103,False
80,116,selfies,0,./results/cropped/e-ktp\116_selfie_crop_0.jpeg,403,653,393,116,cards,0,./results/cropped/e-ktp\116_card_crop_0.jpeg,1797,551,393,ORB,270,242,True
81,116,selfies,0,./results/cropped/e-ktp\116_selfie_crop_0.jpeg,466,653,393,116,cards,0,./results/cropped/e-ktp\116_card_crop_0.jpeg,1700,551,393,SIFT,466,181,True
82,116,selfies,0,./results/cropped/e-ktp\116_selfie_crop_0.jpeg,403,653,393,116,cards,0,./results/cropped/e-ktp\116_card_crop_0.jpeg,2097,618,440,ORB,244,217,False
83,116,selfies,0,./results/cropped/e-ktp\116_selfie_crop_0.jpeg,466,653,393,116,cards,0,./results/cropped/e-ktp\116_card_crop_0.jpeg,2088,618,440,SIFT,466,167,False
84,117,selfies,0,./results/cropped/e-ktp\117_selfie_crop_0.jpeg,402,315,225,117,cards,0,./results/cropped/e-ktp\117_card_crop_0.jpeg,956,350,225,ORB,255,216,True
85,117,selfies,0,./results/cropped/e-ktp\117_selfie_crop_0.jpeg,545,315,225,117,cards,0,./results/cropped/e-ktp\117_card_crop_0.jpeg,597,350,225,SIFT,545,100,True
86,117,selfies,0,./results/cropped/e-ktp\117_selfie_crop_0.jpeg,194,219,156,117,cards,0,./results/cropped/e-ktp\117_card_crop_0.jpeg,2357,695,446,ORB,133,56,False
87,117,selfies,0,./results/cropped/e-ktp\117_selfie_crop_0.jpeg,411,219,156,117,cards,0,./results/cropped/e-ktp\117_card_crop_0.jpeg,2307,695,446,SIFT,411,93,False
88,118,selfies,0,./results/cropped/e-ktp\118_selfie_crop_0.jpeg,429,691,405,118,cards,0,./results/cropped/e-ktp\118_card_crop_0.jpeg,1525,585,405,ORB,263,251,True
89,118,selfies,0,./results/cropped/e-ktp\118_selfie_crop_0.jpeg,538,691,405,118,cards,0,./results/cropped/e-ktp\118_card_crop_0.jpeg,1583,585,405,SIFT,538,148,True
90,118,selfies,0,./results/cropped/e-ktp\118_selfie_crop_0.jpeg,429,691,405,118,cards,0,./results/cropped/e-ktp\118_card_crop_0.jpeg,2064,744,515,ORB,251,226,False
91,118,selfies,0,./results/cropped/e-ktp\118_selfie_crop_0.jpeg,538,691,405,118,cards,0,./results/cropped/e-ktp\118_card_crop_0.jpeg,2095,744,515,SIFT,538,131,False
92,119,selfies,0,./results/cropped/e-ktp\119_selfie_crop_0.jpeg,786,468,300,119,cards,0,./results/cropped/e-ktp\119_card_crop_0.jpeg,848,444,300,ORB,498,492,True
93,119,selfies,0,./results/cropped/e-ktp\119_selfie_crop_0.jpeg,966,468,300,119,cards,0,./results/cropped/e-ktp\119_card_crop_0.jpeg,858,444,300,SIFT,966,429,True
94,119,selfies,0,./results/cropped/e-ktp\119_selfie_crop_0.jpeg,786,468,300,119,cards,0,./results/cropped/e-ktp\119_card_crop_0.jpeg,1753,662,447,ORB,301,242,False
95,119,selfies,0,./results/cropped/e-ktp\119_selfie_crop_0.jpeg,966,468,300,119,cards,0,./results/cropped/e-ktp\119_card_crop_0.jpeg,1619,662,447,SIFT,966,386,False
96,11,selfies,0,./results/cropped/e-ktp\11_selfie_crop_0.jpg,2659,1048,698,11,cards,0,./results/cropped/e-ktp\11_card_crop_0.jpeg,2670,1059,698,ORB,1319,1285,True
97,11,selfies,0,./results/cropped/e-ktp\11_selfie_crop_0.jpg,3791,1048,698,11,cards,0,./results/cropped/e-ktp\11_card_crop_0.jpeg,4016,1059,698,SIFT,3791,635,True
98,11,selfies,0,./results/cropped/e-ktp\11_selfie_crop_0.jpg,2917,2971,1977,11,cards,0,./results/cropped/e-ktp\11_card_crop_0.jpeg,2670,1059,698,ORB,681,609,False
99,11,selfies,0,./results/cropped/e-ktp\11_selfie_crop_0.jpg,6570,2971,1977,11,cards,0,./results/cropped/e-ktp\11_card_crop_0.jpeg,4016,1059,698,SIFT,6570,636,False
100,120,selfies,0,./results/cropped/e-ktp\120_selfie_crop_0.jpeg,1,507,377,120,cards,0,./results/cropped/e-ktp\120_card_crop_0.jpeg,1684,575,377,ORB,1,1,True
101,120,selfies,0,./results/cropped/e-ktp\120_selfie_crop_0.jpeg,6,507,377,120,cards,0,./results/cropped/e-ktp\120_card_crop_0.jpeg,1215,575,377,SIFT,6,0,True
102,120,selfies,0,./results/cropped/e-ktp\120_selfie_crop_0.jpeg,1,507,377,120,cards,0,./results/cropped/e-ktp\120_card_crop_0.jpeg,2522,1033,677,ORB,1,1,False
103,120,selfies,0,./results/cropped/e-ktp\120_selfie_crop_0.jpeg,6,507,377,120,cards,0,./results/cropped/e-ktp\120_card_crop_0.jpeg,4425,1033,677,SIFT,6,0,False
104,121,selfies,0,./results/cropped/e-ktp\121_selfie_crop_0.jpeg,391,438,275,121,cards,0,./results/cropped/e-ktp\121_card_crop_0.jpeg,1043,412,275,ORB,233,208,True
105,121,selfies,0,./results/cropped/e-ktp\121_selfie_crop_0.jpeg,471,438,275,121,cards,0,./results/cropped/e-ktp\121_card_crop_0.jpeg,864,412,275,SIFT,471,91,True
106,121,selfies,0,./results/cropped/e-ktp\121_selfie_crop_0.jpeg,391,438,275,121,cards,0,./results/cropped/e-ktp\121_card_crop_0.jpeg,2497,911,608,ORB,246,212,False
107,121,selfies,0,./results/cropped/e-ktp\121_selfie_crop_0.jpeg,471,438,275,121,cards,0,./results/cropped/e-ktp\121_card_crop_0.jpeg,3936,911,608,SIFT,471,81,False
